1;0;53;0
2;1;52;0
3;2;51;0
4;3;50;0
5;3;50;0
6;3;50;0
7;4;49;0
8;4;49;0
9;5;48;0
10;6;47;0
11;7;46;0
12;7;46;0
13;8;45;0
14;9;44;0
15;9;44;0
16;9;44;0
17;10;43;0
18;11;42;0
19;12;41;0
20;13;40;0
21;13;40;0
22;13;40;0
23;14;39;0
24;15;38;0
25;15;38;0
26;15;38;0
27;16;37;0
28;16;37;0
29;16;37;0
30;16;37;0
31;16;37;0
32;16;37;0
33;17;36;0
34;18;35;0
35;18;35;0
36;19;34;0
37;19;34;0
38;19;34;0
39;20;33;0
40;20;33;0
41;21;32;0
42;21;32;0
43;21;32;0
44;21;32;0
45;21;32;0
46;21;32;0
47;21;32;0
48;22;31;0
49;22;31;0
50;22;31;0
51;22;31;0
52;22;31;0
53;23;30;0
54;23;30;0
55;23;30;0
56;24;29;0
57;25;28;0
58;25;28;0
59;25;28;0
60;25;28;0
61;25;28;0
62;25;28;0
63;25;28;0
64;25;28;0
65;25;28;0
66;25;28;0
67;25;28;0
