1;1;322;0
2;1;322;0
3;1;322;0
4;1;322;0
5;1;322;0
6;1;322;0
7;1;322;0
8;1;322;0
9;1;322;0
10;1;322;0
11;1;322;0
12;0;322;1
13;0;322;1
14;0;322;1
15;0;322;1
16;0;322;1
17;1;321;1
18;1;321;1
19;1;321;1
20;2;321;0
21;2;321;0
22;2;321;0
23;2;321;0
24;2;321;0
25;1;321;1
26;1;321;1
27;1;321;1
28;1;321;1
29;1;321;1
30;1;321;1
31;1;321;1
32;1;321;1
33;3;320;0
34;3;320;0
35;3;320;0
36;3;320;0
37;3;320;0
38;3;320;0
39;3;320;0
40;3;320;0
41;2;320;1
42;2;320;1
43;2;320;1
44;2;320;1
45;3;320;0
46;3;320;0
47;3;320;0
48;3;320;0
49;4;319;0
50;4;319;0
51;3;319;1
52;3;319;1
53;3;319;1
54;3;319;1
55;4;319;0
56;3;319;1
57;3;319;1
58;2;319;2
59;3;319;1
60;3;319;1
61;4;319;0
62;4;319;0
63;5;318;0
64;5;318;0
65;5;318;0
66;6;317;0
67;6;317;0
68;6;317;0
69;6;317;0
70;6;317;0
71;6;317;0
72;6;317;0
73;6;317;0
74;6;317;0
75;5;317;1
76;5;317;1
77;5;317;1
78;5;317;1
79;5;317;1
80;5;317;1
81;5;317;1
82;7;316;0
83;7;316;0
84;7;316;0
85;7;316;0
86;7;316;0
87;8;315;0
88;9;314;0
89;9;314;0
90;9;314;0
91;9;314;0
92;9;314;0
93;9;314;0
94;8;314;1
95;8;314;1
96;8;314;1
97;9;314;0
98;9;314;0
99;9;314;0
100;9;314;0
101;8;314;1
102;8;314;1
103;7;314;2
104;7;314;2
105;6;314;3
106;6;314;3
107;6;314;3
108;7;314;2
109;10;313;0
110;9;313;1
111;9;313;1
112;8;313;2
113;7;313;3
114;8;313;2
115;9;313;1
116;8;313;2
117;9;313;1
118;9;313;1
119;10;313;0
120;10;313;0
121;11;312;0
122;10;312;1
123;10;312;1
124;10;312;1
125;10;312;1
126;11;312;0
127;10;312;1
128;10;312;1
129;10;312;1
130;10;312;1
131;11;312;0
132;10;312;1
133;9;312;2
134;9;312;2
135;9;312;2
136;10;312;1
137;11;311;1
138;10;311;2
139;9;311;3
140;10;311;2
141;9;311;3
142;10;311;2
143;11;311;1
144;12;311;0
145;12;311;0
146;12;311;0
147;11;311;1
148;11;311;1
149;10;311;2
150;9;311;3
151;10;311;2
152;11;311;1
153;13;310;0
154;13;310;0
155;13;310;0
156;13;310;0
157;13;310;0
158;13;310;0
159;13;310;0
160;12;311;0
161;12;311;0
162;12;311;0
163;11;311;1
164;11;311;1
165;11;311;1
166;10;311;2
167;11;311;1
168;11;311;1
169;10;311;2
170;10;311;2
171;9;311;3
172;10;311;2
173;10;311;2
174;10;311;2
175;11;311;1
176;11;311;1
177;11;311;1
178;12;311;0
179;12;311;0
180;12;311;0
181;12;311;0
182;12;311;0
183;12;311;0
184;13;310;0
185;13;310;0
186;12;310;1
187;12;310;1
188;13;309;1
189;13;309;1
190;12;309;2
191;11;309;3
192;12;309;2
193;11;309;3
194;12;309;2
195;12;309;2
196;13;309;1
197;14;308;1
198;16;307;0
199;16;307;0
200;17;306;0
201;17;306;0
202;18;305;0
203;19;304;0
204;20;303;0
205;20;303;0
206;19;303;1
207;19;303;1
208;18;303;2
209;18;303;2
210;17;303;3
211;17;303;3
212;18;303;2
213;21;302;0
214;20;302;1
215;20;302;1
216;21;301;1
217;20;301;2
218;20;301;2
219;20;301;2
220;19;301;3
221;20;301;2
222;20;301;2
223;21;301;1
224;21;301;1
225;20;301;2
226;21;301;1
227;22;300;1
228;23;300;0
229;23;300;0
230;24;299;0
231;24;299;0
232;24;299;0
233;24;299;0
234;23;299;1
235;24;298;1
236;23;298;2
237;23;298;2
238;23;298;2
239;24;298;1
240;23;298;2
241;22;299;2
242;24;298;1
243;25;298;0
244;24;298;1
245;24;298;1
246;25;297;1
247;25;297;1
248;25;297;1
249;24;297;2
250;23;297;3
251;22;297;4
252;24;297;2
253;24;297;2
254;24;297;2
255;26;296;1
256;27;296;0
257;28;295;0
258;28;295;0
259;27;295;1
260;27;295;1
261;26;295;2
262;26;295;2
263;27;295;1
264;27;295;1
265;28;295;0
266;28;295;0
267;28;295;0
268;28;295;0
269;28;295;0
270;28;295;0
271;27;295;1
272;26;295;2
273;26;295;2
274;27;295;1
275;27;295;1
276;27;295;1
277;27;295;1
278;27;295;1
279;28;295;0
280;28;295;0
281;28;295;0
282;28;295;0
283;28;295;0
284;28;295;0
285;27;295;1
286;27;295;1
287;27;295;1
288;26;295;2
289;26;295;2
290;26;295;2
291;25;295;3
292;27;294;2
293;28;294;1
294;29;294;0
295;28;294;1
296;29;293;1
297;29;293;1
298;29;293;1
299;29;293;1
300;28;293;2
301;29;293;1
302;29;293;1
303;30;293;0
304;30;293;0
305;30;293;0
306;30;293;0
307;30;293;0
308;29;293;1
309;29;293;1
310;29;293;1
311;31;292;0
312;31;292;0
313;31;292;0
314;30;292;1
315;30;292;1
316;29;292;2
317;29;292;2
318;29;292;2
319;29;292;2
320;30;292;1
321;29;292;2
322;30;292;1
323;30;292;1
